,node,embedding
22,203,"[346.71271169 145.05560125 -66.93701078 -22.01682648 -23.89109454
  33.35172466  46.05836796   8.02312298  18.66394136  48.19478608
  11.8968104   -7.47447268  10.94885069   5.62834405  24.00761653
 -16.04519937  62.22240657  11.48678362  28.90420319  -3.39800367
 -45.08666589  11.1016361   35.34449536  21.86065958   2.39198959
   0.73273733  18.21934047  -9.10443884 -16.1170255   -6.80754494
   8.88248599  13.95667152]"
23,628,"[ 578.35114316  -38.06790325 -101.99318331  -58.4204394    -1.20207783
  -50.10995711  -15.14305406 -129.13575754   31.85680602   34.50369907
   39.34588339    7.60201873    9.09455671    6.25564038   50.17828001
   11.77817758   -3.25752871   21.45726067  -70.15205268    4.7122059
  -14.67716701  -16.27573805    3.59379254    5.77899263  -10.38454618
   -7.77916781   -3.19567681  -10.74692035  -29.32081041   -2.2287745
    7.2903645   -10.57115657]"
24,1198,"[ 9.80571661e+02 -1.37868317e+02 -2.49119210e+02 -2.67504048e-01
 -5.38361157e+01 -5.41103802e+01 -1.44754011e+02  3.08498032e+02
  5.46362818e+01 -2.79932912e+01  2.99505948e-01  2.13956121e+01
  9.00511334e+00  1.13179335e+01 -4.95254034e+01  1.08492307e+01
  4.25699997e+01  8.41244847e+00 -6.57702195e+01 -7.86306191e+00
  1.72613021e+01  2.42554977e+01  1.28404569e+01  2.19703776e+01
 -6.07564357e+00 -4.41378627e+00 -2.19211861e+01 -2.30614592e+01
  1.30789272e+01 -5.23370881e+00 -4.57423317e+01  2.23024885e+01]"
25,1807,"[ 3.12277022e+02 -2.81556750e+01  2.14225504e+01  7.11390384e+01
 -8.87120966e+00 -1.67681106e+00  8.15258336e+00  9.22159807e+00
  1.74723143e+00 -3.94862787e+00 -5.77883101e+00  2.43348565e+00
  1.76486096e+01 -3.45137795e+01  1.15109467e+01 -1.10463600e+01
 -8.18228079e+00  1.66560465e+01 -1.80801962e+00  1.24571657e+00
 -4.18882132e+00  8.64945451e+00 -1.11114065e+01  5.32142634e+00
 -9.91247565e+00  1.14396158e+01 -2.43816757e+00 -7.39503308e+00
  1.26249623e+01 -1.41653967e-01 -1.79948970e+01 -6.48880395e+00]"
26,1955,"[271.57236729 -13.86581596 -35.29887611  -0.61170034  -9.23378102
  14.88452077  57.04231324  19.22860313   2.74979317   1.30771474
  14.54481723   1.68307346   8.66274776   9.59820054  32.11089526
   2.5430297  -20.2150061    7.6587466  -40.05068188   4.19246184
  -5.1424756   18.6746735   15.64162889  -0.75459622 -11.74550781
  18.69024099   5.5484906   20.50375465   5.65760996  12.259507
   1.88124194   6.91599395]"
27,5377,"[ 3.94339325e+03 -7.96851249e+02 -5.52394769e+02 -6.01997972e+02
 -8.92636705e+02 -9.85519761e+02  2.58480194e+02 -6.27916274e+01
 -5.13864438e+02 -7.22660086e+01 -9.28294945e+01  1.52668941e+02
 -1.53466706e+01 -3.24708324e+01 -6.62471106e+01  1.44559975e+02
  2.93670295e+00 -4.12858466e+01  3.25949702e+01 -1.43534662e+01
  7.24693468e+01  1.84586126e+01  1.68064023e+01  6.53719113e+01
  2.50392466e+01 -4.92748824e+01  8.06527309e+00  6.88664175e+00
  2.76972831e+01 -2.14062050e+01 -1.16940215e+01 -2.32738094e+01]"
28,5459,"[ 4.39451071e+02 -7.08257990e+01 -1.10051788e+02  5.50971475e+01
 -1.67088142e+01  1.60741554e+01 -7.50259323e+01  1.04625444e+02
 -3.94243398e+00  1.33824375e+01 -2.54675709e+00  6.29390198e+00
  5.52999882e+00  1.74920451e+01  8.55832199e-02 -1.11373334e-01
  4.61976542e+01 -9.61797479e+00 -1.35403238e+00 -3.88195070e+01
  3.42785571e+00  1.70144657e+01  1.08327819e+01 -1.54372518e+01
  4.55430777e+00  1.95788452e+00 -9.74096553e+00 -6.23872016e+00
  2.12119613e+01 -1.45791094e+01  4.67349798e+00  1.85957258e+01]"
29,6352,"[ 6.24911711e+02 -3.11674230e+01 -8.77114920e+01 -2.17347582e+02
  1.41409307e+01  5.13438010e+01  2.09825187e+02 -4.32766901e+01
  6.37191498e+01  7.26774200e+01  2.72012180e+01 -9.85789985e+00
 -7.96748689e+00  3.22084755e+01  1.07757300e+01 -4.39492478e+01
  7.27454190e+01  1.83559335e+01  5.90963042e+00  8.99414187e+00
 -5.11472641e+01 -4.81711486e+01 -2.30178379e-01 -2.59871473e+01
 -9.11842967e+00  8.17607135e+00 -1.74525228e+01 -3.40446214e+01
 -1.89216766e+01 -1.95412042e+00  2.56975792e+01  1.72873727e+01]"
30,826,"[10.41666476 -4.72518712  2.48707454 -1.93287339  0.67835307  1.24916876
  0.59339839 -0.17627684 -0.63290493 -1.4888365  -3.39670819 -1.05667114
 -0.32862862  0.9988869  -0.6938382  -0.65189196 -0.60234538 -0.71782892
  1.50974426  1.15135524 -1.21035788  1.28617437  0.4277009  -0.24888356
 -2.93090254  1.23330379 -1.2343601  -0.45647794  1.30237187 -0.5336831
  1.18360116 -0.31421364]"
31,2420,"[ 8.83723591 -3.02411204 -0.64670561 -2.70481066 -1.1317041   0.1723665
  2.41527443  2.29086152 -0.66610402  0.66776279 -1.81346873  0.45823698
  0.04860018  0.95900263  0.72976947 -1.4042542  -2.26959483 -0.78400921
  3.04504888 -1.52319368  0.44309362  0.6400149   0.07068902 -0.37322466
 -2.38894877  0.41294027 -0.20959797  1.52819157  1.16735111  0.38012927
  0.70313362 -0.03797606]"
32,2533,"[ 1.26156532e+02 -3.38364877e+01 -1.11808386e+00 -3.09211276e+01
  4.87510122e+00 -6.13774397e-01  1.15153646e+01 -6.55739611e+00
 -4.11885765e+00  8.27342623e+00  1.87656906e+00  9.77139669e+00
 -4.83491948e+00  1.03339486e+01  1.51948363e+00 -2.94433533e+00
 -2.13770160e+01  4.26663131e+00 -7.38370232e+00  6.78978644e+00
 -1.13127899e+01 -5.09922802e+00 -4.90770246e+00 -3.32648008e+00
 -5.54259694e+00  6.55948663e-02 -1.27370426e+00 -2.38143496e+00
  4.13841636e+00 -4.82804025e+00  4.27573262e+00 -4.58818530e+00]"
33,26,"[15.33268002  0.25178802  0.7970414  15.81767723 -2.09311947  1.15012346
  7.0382873   2.09766517  1.43320518 -1.09893736 -0.37204163  1.47669799
 -1.54225844 -0.54421475  1.90898686  1.32250157 -1.96098409  0.28235778
 -1.41255845 -0.84864531  2.98431846 -1.11997681  0.13509706 -0.52464154
  1.22893375  1.21269337  0.96013252 -0.21127324  1.14465666  0.50059239
  0.79560671 -2.57226681]"
34,399,"[137.4259133   -7.8802948   26.24802015 126.77809008 -18.90417276
   2.88918654  29.07200496  -3.99610292  18.03557129  -7.00526442
 -25.56024407  -3.13666161  25.66167701   0.8475674   -7.19105881
  12.33792242   0.14357016  -0.58152019   7.45413554   1.84476163
  -2.31004404 -17.38153706   0.54782856  -5.01168326   3.18876609
   0.7857985   -0.59487682  13.65418973  -2.22355852   3.70167221
  -4.40385097   0.90749234]"
35,530,"[ 8.90654943e+02 -6.62872722e+01 -1.28279620e+02  7.29666676e+00
  1.62748529e+01 -6.05822698e+01 -3.29522857e+01 -3.71433762e+01
  7.60486459e+01 -1.49605927e+02  2.03556068e+01  1.65089395e+00
 -7.32545225e+01  4.16600532e+01  4.96337577e+01  1.24731944e+01
  1.71514718e+00  1.30673262e+01 -6.30453106e+01 -1.73296563e+01
 -1.06144044e+01 -3.41773070e+00  1.21432595e+01 -2.51468711e+01
 -7.01182972e+00 -2.99058943e+01 -5.01891118e+01 -3.89355485e-01
 -2.30730413e+00  4.95602220e+00  1.36946360e+01 -3.70103491e+00]"
36,791,"[137.2997326   -0.48165384 -20.84088796  75.16915663  -7.42286778
   1.12480058  33.50104789  32.77599411   4.30523442  -2.72572666
  -4.46152432   1.30721423  -8.94781301  -3.00577557   0.93448411
  -2.35972158  -6.10126195   7.24924171  10.7522485   -3.42619666
  -1.36388767  -0.53551538  -5.11012139   3.73563287  -0.35369967
  -2.41721666  -3.5641332    1.87889047   0.38259802  -6.8401844
  -5.00757917   3.94173324]"
